prov_id,dist_id,dist_lo,dist_en
13,1307,ມ. ທ່າ​ປາງ​ທອງ,Thapangthong District
13,1308,ມ. ສອງ​ຄອນ,Songkhone District
13,1309,ມ. ຈຳພອນ,Champhone District
13,1310,ມ. ຊົນ​ບູ​ລີ,Xonbuly District
13,1311,ມ. ໄຊ​ບູ​ລີ,Xaybuly District
13,1312,ມ. ວິ​ລະ​ບູ​ລີ,Vilabuly District
13,1313,ມ. ອາດ​ສະ​ພອນ,Atsaphone District
13,1314,ມ. ໄຊ​ພູ​ທອງ,Xayphoothong District
13,1315,ມ. ພະ​ລານ​ໄຊ,Phalanxay District
14,1401,ມ. ສາ​ລະ​ວັນ,Saravane District
14,1402,ມ. ຕາໂອຍ,Ta oi District
14,1403,ມ. ຕຸ້ມ​ລານ,Toomlarn District
14,1404,ມ. ​ລະ​ຄອນ​ເພັງ,Lakhonepheng District
14,1405,ມ. ​ວາ​ປີ,Vapy District
14,1406,ມ. ຄົງ​ເຊ​ໂດນ,Khongxedone District
14,1407,ມ. ​ເລົ່າ​ງາ​ມ,Lao ngarm District
14,1408,ມ. ສະ​​ມ້ວຍ,Samuoi District
15,1501,ມ. ລະ​ມາມ,Lamarm District
15,1502,ມ. ກະ​ລຶມ,Kaleum District
15,1503,ມ. ດັກ​ຈຶງ,Dakcheung District
15,1504,ມ. ​ທ່າ​ແຕ່ງ,Thateng District
16,1601,ມ. ​ປາກ​ເຊ,Pakse District
16,1602,ມ. ຊະ​ນະ​ສົມ​ບູນ,Sanasomboon District
16,1603,ມ. ບາ​ຈຽງ,Bachiangchaleunsook District
16,1604,ມ. ປາກ​ຊ່ອງ,Paksxong District
16,1605,ມ. ປະ​ທຸມ​ພອນ,Pathoomphone District
16,1606,ມ. ໂພນ​ທອງ,Phonthong District
16,1607,ມ. ຈຳ​ປາ​ສັກ,Champasack District
16,1608,ມ. ​ສຸ​ຂຸ​ມາ,Sukhuma District
16,1609,ມ. ມຸນ​ລະ​ປະ​ໂມກ,Moonlapamok District
16,1610,ມ. ໂຂງ,Khong District
17,1701,ມ. ໄຊ​ເສດ​ຖາ,Xaysetha District
17,1702,ມ. ສາ​ມະ​ຄີ​ໄຊ,Samakkhixay District
17,1703,ມ. ສະ​ໜາມ​ໄຊ,Sanamxay District
17,1704,ມ. ຊານ​ໄຊ,Sanxay District
17,1705,I,Phouvong District
18,1801,ມ. ອະ​ນຸ​ວົງ,Anouvong District
18,1802,ມ. ທ່າ​ໂທມ,Thathom District
18,1803,ມ. ​ລ່ອງ​ແຈ້ງ,Longcheng District
18,1804,ມ. ຮົ່ມ,Home District
18,1805,ມ. ລ້ອງ​ຊານ,Longsane District
